Customer Name,Contact,Loan Number,Total Loan Amount,Current Balance,Current Escrow Balance,Prev Tax,Prev Insurance,Forecasted Tax,Forecasted Insurance,Last Tax Paid Date,Last Insurance Paid Date,Next Tax Pay Date,Next Insurance Pay Date,Forecasted Escrow Surplus,Forecasted Escrow Shortage,Last Interaction Date,Last Interaction Type,Last Interaction Summary,County,Property Address
Valerie Sanders,266.794.1180,41519884,509273.2,251510.06,3681.11,4886.56,1892.51,5383.76,1953.87,2025-06-16,2024-11-26,2026-06-16,2025-11-26,0.0,4879.46,2025-10-09,Call,Verified insurance premium update,Travis,"9900 Wagner Light Suite 652, Austin, TX 78759"
Christopher Vasquez,672-715-8624x15027,67725168,736076.33,457852.03,4959.56,4447.22,1259.74,4591.07,1340.04,2024-12-01,2025-01-23,2025-12-01,2026-01-23,0.0,1960.07,2025-08-28,Call,Inquired about property tax adjustment,Tarrant,"9485 Stafford Island Suite 287, Arlington, TX 76011"
Clifford Harrison,(976)917-0758,76167803,418074.67,310209.09,2629.33,3718.31,1221.36,3910.56,1292.24,2025-01-20,2025-01-15,2026-01-20,2026-01-15,0.0,3440.6,2025-10-25,Call,Requested payment schedule clarification,Collin,"215 James Haven, McKinney, TX 75035"
Denise Macdonald,001-539-908-9261,22657432,851404.52,805233.67,2215.98,4064.48,1340.61,4456.42,1397.31,2025-05-06,2025-07-13,2026-05-06,2026-07-13,0.0,4613.37,2025-09-09,Call,Inquired about property tax adjustment,Harris,"41659 Mary Drives Apt. 177, Pasadena, TX 77077"
Abigail Booker,+1-897-359-2304x5018,63533881,572331.67,311415.3,7916.04,6967.32,1636.79,7370.13,1725.4,2025-05-20,2025-04-27,2026-05-20,2026-04-27,0.0,2695.41,2025-10-24,Call,Asked about escrow increase explanation,Harris,"36103 Paul Lodge Suite 214, Pearland, TX 77008"
Emily Cohen,(951)658-3776,85572241,544836.39,245362.57,7425.27,3906.59,1021.83,4275.86,1116.54,2025-05-22,2025-06-03,2026-05-22,2026-06-03,1134.14,0.0,2025-10-14,Chat,Asked about escrow increase explanation,Dallas,"65926 Davis Passage Suite 732, Irving, TX 75201"
Angela Mcdonald,674-222-4386,83953207,678522.26,353392.26,1776.44,5368.33,1420.31,5564.42,1524.57,2025-06-19,2025-02-17,2026-06-19,2026-02-17,0.0,6494.05,2025-09-17,In-App Message,Follow-up on prior escrow analysis letter,Collin,"81866 Steven Stravenue, Frisco, TX 75035"
Brad Gordon,772-926-0164,99960756,391952.4,367624.05,6126.46,4965.91,1886.75,5332.63,1959.49,2024-11-17,2024-11-13,2025-11-17,2025-11-13,0.0,2381.01,2025-09-21,Chat,Requested payment schedule clarification,Collin,"452 Jacob Summit Suite 168, Allen, TX 75025"
Christopher Woods,001-469-274-9956x412,35609022,380117.42,301907.96,1891.44,6279.74,2412.94,7004.31,2522.11,2025-06-08,2025-01-24,2026-06-08,2026-01-24,0.0,9222.72,2025-08-22,Call,Requested payment schedule clarification,Harris,"30372 Ryan Road, Houston, TX 77095"
John Wells,5125277707,49571601,629735.08,316161.72,4473.3,4490.26,932.27,4765.12,968.4,2025-05-18,2025-05-29,2026-05-18,2026-05-29,0.0,2215.81,2025-10-10,Call,Inquired about property tax adjustment,Harris,"50166 Mclaughlin Ranch Suite 076, Pasadena, TX 77024"
Taylor Stein,330.980.6958x1467,93576934,307263.21,244762.2,3453.37,6541.59,2024.7,6766.18,2124.8,2025-08-04,2025-03-22,2026-08-04,2026-03-22,0.0,6919.44,2025-11-11,In-App Message,Requested payment schedule clarification,Travis,"6024 Taylor Mill Apt. 839, Austin, TX 78704"
Sarah Sandoval,(646)365-7293,99530801,413423.38,263629.25,6801.65,6549.28,1782.69,7192.69,1836.71,2024-11-29,2024-11-18,2025-11-29,2025-11-18,0.0,3732.65,2025-09-17,In-App Message,Asked about escrow increase explanation,Travis,"23297 Laura Park Suite 338, Austin, TX 78745"
Heather Moore,701.256.1931x83745,84762274,389037.68,360183.17,1519.4,3765.47,1438.28,4126.5,1523.48,2025-09-10,2024-12-20,2026-09-10,2025-12-20,0.0,5072.24,2025-11-01,Call,Inquired about property tax adjustment,Collin,"89107 Estes Throughway Apt. 199, Allen, TX 75013"
Katie Jackson,435-724-7871,54910261,678378.48,451570.55,5575.45,5732.93,1538.14,5932.55,1599.36,2025-01-16,2024-12-14,2026-01-16,2025-12-14,0.0,3211.78,2025-09-08,Email,Verified insurance premium update,Harris,"37603 Peterson Parkways, Pearland, TX 77584"
Paul Ward,+1-932-486-3266x67850,11335293,645448.42,386430.18,1671.41,4768.06,1734.43,5121.78,1760.28,2025-07-25,2025-07-18,2026-07-25,2026-07-18,0.0,6357.66,2025-08-28,Call,Verified insurance premium update,Harris,"55626 Phillip Camp, Pearland, TX 77057"
Amy Welch,001-484-866-8455x048,69886480,618818.22,427086.18,1678.91,3931.29,1884.92,4394.93,1984.11,2025-07-20,2025-04-17,2026-07-20,2026-04-17,0.0,5763.3,2025-10-28,Call,Inquired about property tax adjustment,Collin,"997 Barron Tunnel, Allen, TX 75070"
Eric Johnson,262-288-4318x84852,82468532,821158.11,478326.4,5493.06,4743.87,1430.73,5049.04,1469.06,2025-05-04,2025-03-06,2026-05-04,2026-03-06,0.0,2111.39,2025-10-08,Call,Inquired about property tax adjustment,Travis,"46810 Green Parkways Suite 101, Austin, TX 78745"
Jody Bird,001-599-389-3544x9268,54002874,319681.71,186783.95,1431.48,6385.06,1934.7,6625.86,2013.91,2025-04-25,2024-12-31,2026-04-25,2025-12-31,0.0,8648.25,2025-09-29,In-App Message,Follow-up on prior escrow analysis letter,Travis,"7126 Miller Circle, Austin, TX 78704"
Blake Rhodes,(498)486-4976x7762,75063976,440329.57,313202.52,7759.39,6091.81,2391.81,6588.56,2466.45,2024-12-23,2024-12-27,2025-12-23,2025-12-27,0.0,2804.79,2025-09-18,Chat,Asked about escrow increase explanation,Dallas,"88137 Johnson Estate Suite 196, Dallas, TX 75150"
Amanda Hernandez,(645)644-7022x960,38934853,578414.95,409754.18,5000.4,7422.4,1050.66,8279.19,1103.63,2025-04-22,2025-05-16,2026-04-22,2026-05-16,0.0,5946.22,2025-10-08,Email,Requested payment schedule clarification,Travis,"701 Jones Cape, Austin, TX 78759"
Jesse Morgan,(879)822-8777x2519,41248877,467531.17,441414.86,4047.75,7487.71,1866.28,8274.44,1928.26,2025-07-19,2024-12-29,2026-07-19,2025-12-29,0.0,7855.4,2025-10-15,Call,Asked about escrow increase explanation,Dallas,"8074 Michelle Station Apt. 948, Irving, TX 75201"
Cheryl Montgomery,001-409-283-7801,46904845,394595.1,232061.54,4207.1,6930.6,2137.14,7527.15,2259.02,2025-05-20,2024-11-20,2026-05-20,2025-11-20,0.0,7210.1,2025-09-16,In-App Message,Asked about escrow increase explanation,Travis,"97189 Morales Cape, Austin, TX 78759"
Jason Heath,664-811-1824x22412,32708438,574945.45,426229.22,7753.82,3450.92,979.58,3796.56,1058.65,2025-03-15,2025-01-05,2026-03-15,2026-01-05,2089.41,0.0,2025-09-23,Chat,Verified insurance premium update,Travis,"520 Kenneth Courts, Austin, TX 78702"
Deanna David,803-339-9378,46143160,514188.59,387945.56,1262.26,4239.36,1044.55,4598.77,1120.21,2025-02-09,2024-11-18,2026-02-09,2025-11-18,0.0,5409.88,2025-09-09,Call,Verified insurance premium update,Tarrant,"7861 Johnson Roads, Arlington, TX 76051"
Laurie Garcia,001-582-849-6718x32582,84511273,186968.23,128561.06,2880.09,4675.98,1374.37,5150.26,1426.58,2025-03-27,2025-07-14,2026-03-27,2026-07-14,0.0,4792.89,2025-09-03,In-App Message,Asked about escrow increase explanation,Tarrant,"07942 Brian Orchard Suite 946, Grapevine, TX 76107"
Katrina Williams,001-789-714-1612x8463,95251058,880664.57,591414.97,6780.76,4212.39,1508.51,4583.5,1549.11,2025-07-05,2025-05-15,2026-07-05,2026-05-15,0.0,373.95,2025-08-14,Email,Verified insurance premium update,Dallas,"743 Peterson Mount Suite 020, Irving, TX 75219"
Megan Gutierrez,001-776-881-1807x156,33781587,536452.28,284044.09,3177.86,5280.58,1030.6,5843.58,1122.47,2025-02-28,2025-08-02,2026-02-28,2026-08-02,0.0,4949.2,2025-11-11,Call,Requested payment schedule clarification,Travis,"75370 Julia Trace, Austin, TX 78701"
Cheryl Velasquez,+1-843-337-5047x9303,47224958,193220.64,90144.29,1353.91,4621.69,1138.49,4913.56,1197.44,2025-02-07,2025-06-02,2026-02-07,2026-06-02,0.0,5775.59,2025-10-23,In-App Message,Asked about escrow increase explanation,Dallas,"83999 Cameron Crossroad Apt. 249, Irving, TX 75150"
Cheryl Gregory,001-689-348-7060x566,79564413,516590.05,347691.82,7723.64,5135.62,1737.27,5448.8,1885.61,2025-01-25,2025-03-20,2026-01-25,2026-03-20,0.0,833.17,2025-08-21,Chat,Asked about escrow increase explanation,Collin,"5803 Joshua Manor Suite 506, Frisco, TX 75025"
Rhonda Mooney,361.233.2541,74420002,187238.28,164191.24,6458.81,3964.43,1176.3,4163.68,1209.95,2024-12-09,2025-09-08,2025-12-09,2026-09-08,189.57,0.0,2025-10-11,In-App Message,Follow-up on prior escrow analysis letter,Tarrant,"95431 Allen Junctions Apt. 583, Fort Worth, TX 76010"
Pamela Garrett,001-211-900-6512,17353632,833636.58,644972.77,5207.99,3038.09,1229.06,3349.37,1275.14,2025-08-30,2025-04-19,2026-08-30,2026-04-19,0.0,187.27,2025-09-05,Chat,Verified insurance premium update,Collin,"611 Anita Hill Suite 619, Plano, TX 75034"
Rachel Hanson,567.369.9150x785,23782772,338999.03,231654.65,5740.37,6709.4,1475.16,6972.46,1557.82,2025-03-29,2025-04-23,2026-03-29,2026-04-23,0.0,4211.62,2025-09-29,Chat,Follow-up on prior escrow analysis letter,Travis,"193 Dana Glens, Austin, TX 78745"
Jill Sanchez,4024496854,73018412,373856.94,188443.44,1446.86,7447.62,1889.01,8248.49,1952.3,2025-06-16,2024-12-02,2026-06-16,2025-12-02,0.0,10454.06,2025-09-23,Chat,Requested payment schedule clarification,Harris,"545 Zachary Shoals Apt. 038, Pearland, TX 77057"
William Davidson,715.637.7959,66196330,754072.37,641852.73,5200.23,5972.39,1957.28,6539.26,2092.31,2025-02-11,2025-05-16,2026-02-11,2026-05-16,0.0,4869.93,2025-10-24,Chat,Inquired about property tax adjustment,Dallas,"17073 Danielle Square Apt. 793, Irving, TX 75201"
Robin Aguirre,(636)920-5015x0812,36092388,702549.07,520948.46,7963.28,6672.07,1383.38,7300.6,1482.66,2025-01-19,2025-01-26,2026-01-19,2026-01-26,0.0,2283.86,2025-08-16,In-App Message,Inquired about property tax adjustment,Travis,"03342 Nicole Stravenue Apt. 583, Austin, TX 78745"
Dennis Garcia,+1-826-315-3473x55289,25903904,780479.02,693258.45,2267.95,3439.21,1017.51,3622.45,1101.71,2025-02-13,2024-11-28,2026-02-13,2025-11-28,0.0,3243.57,2025-10-27,Email,Inquired about property tax adjustment,Harris,"33865 Greene Roads, Pasadena, TX 77008"
Chelsea Nichols,(553)304-2897,73171894,317495.94,281211.27,3943.31,6990.8,1431.86,7568.95,1505.94,2025-04-05,2025-06-03,2026-04-05,2026-06-03,0.0,6644.06,2025-10-20,Call,Verified insurance premium update,Collin,"86857 White Station, Frisco, TX 75025"
Dr. John Perkins,+1-490-733-3736x3466,44162336,817069.55,572143.71,7072.48,4717.51,1307.2,4881.99,1420.77,2025-05-28,2025-07-10,2026-05-28,2026-07-10,0.0,280.74,2025-09-15,Email,Requested payment schedule clarification,Collin,"14785 Brandy Mountain, Plano, TX 75034"
John Ortiz,354.660.2734x1514,40566959,819633.84,773180.79,2002.57,6880.77,1106.61,7137.24,1150.8,2025-02-16,2025-03-08,2026-02-16,2026-03-08,0.0,7666.81,2025-10-25,Email,Inquired about property tax adjustment,Tarrant,"15083 Gonzalez Isle, Arlington, TX 76011"
Melinda Hill,001-292-984-0445x669,97790612,355145.9,294982.99,2180.24,6440.18,1632.28,7075.96,1661.54,2025-06-13,2025-09-01,2026-06-13,2026-09-01,0.0,8013.51,2025-09-28,In-App Message,Verified insurance premium update,Collin,"3337 Zachary Turnpike, Plano, TX 75034"
Julia Conner,236-963-7780x52924,98429098,437487.32,205121.47,2395.9,4678.96,823.93,4955.01,893.96,2025-06-19,2025-07-13,2026-06-19,2026-07-13,0.0,4427.9,2025-10-30,Email,Asked about escrow increase explanation,Travis,"3666 Nguyen Brooks Apt. 225, Austin, TX 78745"
Lisa Camacho,(336)418-6371x5974,24000677,670143.56,416946.49,1902.52,4725.98,1800.74,4938.8,1952.26,2025-03-01,2025-01-29,2026-03-01,2026-01-29,0.0,6137.05,2025-09-05,Chat,Inquired about property tax adjustment,Collin,"97023 Rhonda Lights, Frisco, TX 75024"
Joseph Gibson,(980)325-6621x286,62209742,815980.53,773334.29,3399.13,7056.23,1410.73,7387.58,1545.21,2025-08-16,2025-08-03,2026-08-16,2026-08-03,0.0,7022.46,2025-09-27,In-App Message,Asked about escrow increase explanation,Travis,"34672 Matthews Parkway, Austin, TX 78745"
Adam Thomas,969-238-5977,22227594,888659.64,493734.95,1153.39,5270.85,1009.38,5766.31,1091.43,2025-07-08,2025-08-22,2026-07-08,2026-08-22,0.0,6847.31,2025-09-24,In-App Message,Inquired about property tax adjustment,Dallas,"754 Austin Valleys Apt. 632, Irving, TX 75040"
Thomas White,001-316-503-2484,76234781,595443.05,282228.21,1756.79,6762.54,882.0,7035.89,926.09,2025-02-17,2025-01-30,2026-02-17,2026-01-30,0.0,7532.19,2025-10-02,Call,Follow-up on prior escrow analysis letter,Harris,"151 William Tunnel Suite 672, Pearland, TX 77002"
Alexander Fowler,+1-976-956-3600x41257,19158638,264845.32,211239.57,5412.18,4355.02,1924.83,4745.33,1990.85,2025-01-12,2025-01-16,2026-01-12,2026-01-16,0.0,2446.7,2025-11-03,Email,Verified insurance premium update,Tarrant,"372 Hoover Ville, Arlington, TX 76051"
Brian Phillips,+1-462-510-4275,14623108,235509.41,118492.29,2390.53,3898.87,1247.09,4199.41,1282.2,2024-11-12,2024-11-29,2025-11-12,2025-11-29,0.0,4004.68,2025-10-27,In-App Message,Inquired about property tax adjustment,Collin,"0816 Wallace Rapid, Plano, TX 75025"
Dakota Wright,331.506.0053,22965862,522266.04,289255.48,7531.87,4487.72,804.65,4893.62,878.37,2025-06-17,2025-07-12,2026-06-17,2026-07-12,797.88,0.0,2025-09-01,In-App Message,Requested payment schedule clarification,Dallas,"206 Lisa Islands, Dallas, TX 75062"
Taylor Foster,(913)531-5520x65063,18860555,692682.19,625069.27,5510.36,5055.38,2461.39,5327.21,2497.1,2025-08-14,2025-06-07,2026-08-14,2026-06-07,0.0,3618.0,2025-10-29,Email,Asked about escrow increase explanation,Collin,"950 Nicole Loop Suite 971, Plano, TX 75070"
Sarah Jackson DVM,+1-956-825-2571x509,78588767,384530.33,315034.2,1664.99,6411.92,878.01,7095.94,939.21,2025-03-10,2025-02-10,2026-03-10,2026-02-10,0.0,7709.35,2025-10-24,Email,Inquired about property tax adjustment,Tarrant,"903 Christina Crossing, Arlington, TX 76051"
David Miller,(557)943-2630,54116005,351232.05,286792.9,3608.36,4542.25,993.51,4842.14,1044.27,2025-08-22,2025-03-19,2026-08-22,2026-03-19,0.0,3259.12,2025-09-16,In-App Message,Verified insurance premium update,Tarrant,"5086 Christensen Forks, Arlington, TX 76011"
Joshua Knox,+1-233-496-8527x01713,37409946,249383.68,202800.19,7870.98,6799.57,976.31,7561.19,1028.48,2025-03-11,2025-01-13,2026-03-11,2026-01-13,0.0,2150.3,2025-10-23,In-App Message,Requested payment schedule clarification,Travis,"29833 Ronald Mountain, Austin, TX 78701"
Jeff Obrien,949-873-4715x6627,77819218,608518.81,536280.26,7159.65,6272.75,2316.0,6733.65,2440.9,2025-03-09,2025-05-06,2026-03-09,2026-05-06,0.0,3543.99,2025-09-10,In-App Message,Verified insurance premium update,Harris,"70661 Larson Drives Apt. 467, Pasadena, TX 77077"
Larry Jones,(973)823-0085,65810437,641230.18,292516.45,7078.33,5361.68,2064.16,5871.79,2126.41,2025-04-09,2025-06-18,2026-04-09,2026-06-18,0.0,2252.9,2025-08-29,Chat,Follow-up on prior escrow analysis letter,Collin,"567 Davidson Radial Apt. 601, Plano, TX 75025"
Jeffrey Scott,001-458-675-0663x37050,91260195,474635.93,386033.73,4373.51,5986.7,1890.39,6246.4,2049.9,2024-12-12,2025-05-31,2025-12-12,2026-05-31,0.0,5305.51,2025-11-10,Call,Asked about escrow increase explanation,Harris,"243 Alexander Trail Apt. 669, Pearland, TX 77007"
Jay Gallegos,448-686-9461x195,38122043,521876.2,278004.46,6260.01,4442.85,1362.52,4687.36,1438.31,2025-08-22,2025-04-27,2026-08-22,2026-04-27,0.0,886.6,2025-08-30,In-App Message,Verified insurance premium update,Dallas,"402 Smith Cliff Suite 864, Mesquite, TX 75150"
Cody Taylor,828.917.9323x0234,94132688,483141.66,355842.27,1616.14,5243.05,1337.3,5863.1,1440.37,2024-12-05,2025-03-23,2025-12-05,2026-03-23,0.0,6904.58,2025-08-16,Call,Asked about escrow increase explanation,Dallas,"214 Nicholas Harbor, Dallas, TX 75039"
Karen Chambers,200-840-9013,90931259,567848.26,255579.9,1636.27,5718.91,1852.41,6047.25,1955.68,2025-04-06,2025-07-06,2026-04-06,2026-07-06,0.0,7700.48,2025-08-19,Email,Verified insurance premium update,Travis,"7596 Wood Junctions Suite 356, Austin, TX 78701"
Shelley Drake,5767209184,70655417,762441.51,664970.01,3323.81,6453.37,1819.92,7063.21,1897.62,2025-07-04,2025-05-18,2026-07-04,2026-05-18,0.0,7130.49,2025-09-21,In-App Message,Asked about escrow increase explanation,Tarrant,"630 Smith Lake Apt. 573, Arlington, TX 76102"
Rebecca Bailey,316.649.3289x8027,83651529,406017.84,351181.86,7751.04,4313.93,1687.37,4715.94,1711.2,2025-01-12,2025-03-17,2026-01-12,2026-03-17,252.71,0.0,2025-11-09,Email,Verified insurance premium update,Collin,"71783 Jason Terrace Apt. 160, Frisco, TX 75013"
Douglas Ball,+1-871-828-7153x99156,41322048,340716.98,186699.53,1845.22,6834.87,1166.5,7547.13,1198.17,2025-01-23,2025-08-27,2026-01-23,2026-08-27,0.0,8357.63,2025-08-25,Chat,Asked about escrow increase explanation,Dallas,"1411 Matthew Ramp, Mesquite, TX 75201"
Bethany Edwards,(590)340-9836x6552,63057930,242414.39,217173.52,4201.72,5651.92,1657.14,6311.76,1674.36,2025-08-02,2025-05-07,2026-08-02,2026-05-07,0.0,5115.42,2025-08-28,Call,Follow-up on prior escrow analysis letter,Travis,"752 Hood Parks, Austin, TX 78759"
Brianna Ortega,001-609-854-8149x737,17893691,735811.12,665975.83,5842.72,3781.43,2185.92,3930.12,2337.14,2025-03-22,2025-04-24,2026-03-22,2026-04-24,0.0,1469.08,2025-10-18,Chat,Follow-up on prior escrow analysis letter,Travis,"33027 Evans Via Apt. 086, Austin, TX 78759"
Gregory Myers,784-243-8612,50812122,836932.68,695647.84,2915.17,7336.17,2449.84,7855.25,2503.74,2025-08-23,2025-07-21,2026-08-23,2026-07-21,0.0,9170.32,2025-08-14,In-App Message,Follow-up on prior escrow analysis letter,Travis,"292 Dominguez Highway Apt. 333, Austin, TX 78759"
Scott Garcia,(266)320-1572,79180538,683905.77,627658.65,5428.08,3904.0,1861.08,4123.22,1937.53,2025-01-16,2025-07-22,2026-01-16,2026-07-22,0.0,1642.8,2025-10-25,Email,Requested payment schedule clarification,Harris,"626 Austin Garden Suite 749, Pasadena, TX 77077"
Michael Pope,+1-517-264-7501x11178,88765739,682764.55,566959.16,4935.96,5622.63,2402.55,6150.66,2572.37,2024-12-19,2025-03-17,2025-12-19,2026-03-17,0.0,5240.91,2025-08-20,Chat,Verified insurance premium update,Harris,"1926 Cooke Squares Suite 492, Pearland, TX 77077"
Shannon Medina,(306)488-8718x9813,90410190,435652.74,207602.69,1396.23,4201.4,2135.4,4699.34,2288.09,2025-01-12,2024-12-15,2026-01-12,2025-12-15,0.0,6755.77,2025-10-07,Email,Asked about escrow increase explanation,Collin,"87510 Bailey Shoal, Plano, TX 75013"
Paul Miller,684-258-2603,79718468,174229.79,149317.21,1717.36,6906.16,2057.14,7650.89,2215.16,2025-01-31,2025-08-05,2026-01-31,2026-08-05,0.0,9793.03,2025-08-23,In-App Message,Requested payment schedule clarification,Tarrant,"872 Neal Pike Suite 988, Fort Worth, TX 76011"
Amanda Johnson,(643)429-8395,93525402,669702.06,317097.19,3671.08,4874.55,2139.79,5321.37,2347.19,2024-12-08,2025-07-13,2025-12-08,2026-07-13,0.0,5275.57,2025-10-24,Call,Asked about escrow increase explanation,Harris,"84462 Bryant Glens Suite 283, Pearland, TX 77057"
Mark Brewer,001-559-389-2625x660,46255595,801637.47,705619.23,4101.45,4014.97,1877.44,4391.81,1958.35,2025-03-31,2025-03-20,2026-03-31,2026-03-20,0.0,3307.07,2025-10-28,Email,Requested payment schedule clarification,Tarrant,"186 Mark Corners, Fort Worth, TX 76011"
Sean Perez,6169361128,22823236,887589.99,432464.46,7737.33,6307.86,1002.9,6520.16,1038.12,2025-03-25,2025-08-25,2026-03-25,2026-08-25,0.0,1080.66,2025-10-18,Chat,Requested payment schedule clarification,Tarrant,"948 Lawson Causeway Apt. 562, Arlington, TX 76107"
Kim Wheeler,(279)724-0822x2694,43435196,397922.09,320265.46,2083.64,3691.67,1348.47,3819.32,1475.11,2025-08-17,2025-02-07,2026-08-17,2026-02-07,0.0,4093.2,2025-09-12,Chat,Verified insurance premium update,Dallas,"727 Lindsey Parkway Suite 468, Garland, TX 75201"
Angie Torres,001-251-811-3129x01487,78274190,204660.6,164514.54,4677.77,7306.44,1685.03,8042.66,1726.05,2025-08-27,2024-11-13,2026-08-27,2025-11-13,0.0,6719.06,2025-10-22,In-App Message,Asked about escrow increase explanation,Harris,"7881 Smith Field, Pearland, TX 77077"
Joseph Reed,001-789-209-7283x2152,66736822,647500.86,398558.32,3055.02,7276.39,1851.08,7805.65,1963.11,2025-03-05,2025-02-21,2026-03-05,2026-02-21,0.0,8341.87,2025-09-03,Call,Asked about escrow increase explanation,Tarrant,"2515 Marie Vista Apt. 447, Fort Worth, TX 76107"
Mark Long,780-379-7050x9754,10691813,828372.34,626954.06,5347.92,7315.04,1960.34,7745.78,2141.54,2025-01-09,2025-04-19,2026-01-09,2026-04-19,0.0,6187.29,2025-08-26,Call,Verified insurance premium update,Tarrant,"265 Craig Overpass Apt. 188, Arlington, TX 76107"
Adriana Hammond,937-965-4562x841,31721032,362121.75,327962.07,6754.76,4687.31,2164.79,5015.89,2194.98,2025-01-01,2025-04-13,2026-01-01,2026-04-13,0.0,1657.92,2025-09-23,Email,Inquired about property tax adjustment,Tarrant,"6053 Jake Canyon, Grapevine, TX 76051"
Stephanie Martin,774.816.7872,77358318,275546.11,255744.84,4765.82,3032.99,911.3,3306.96,983.86,2025-06-30,2025-08-24,2026-06-30,2026-08-24,0.0,240.14,2025-08-14,In-App Message,Asked about escrow increase explanation,Harris,"11022 Porter Trafficway Apt. 056, Houston, TX 77007"
Dylan Tucker,001-963-392-8234x14363,77422120,762565.76,370652.9,5802.3,3106.89,2018.68,3210.69,2052.17,2025-01-06,2025-04-25,2026-01-06,2026-04-25,0.0,337.7,2025-08-15,Email,Inquired about property tax adjustment,Dallas,"92312 Johnson Fields, Mesquite, TX 75040"
Ann Williams,(684)733-5670x86041,47655580,833239.93,544785.92,4157.88,4820.02,1337.89,5133.59,1365.51,2025-05-13,2025-02-27,2026-05-13,2026-02-27,0.0,3424.4,2025-11-10,Call,Follow-up on prior escrow analysis letter,Harris,"635 Hunter Alley Apt. 534, Houston, TX 77024"
Jessica King,755.541.1082x5559,97274855,786188.43,494394.65,4519.86,4304.26,1965.99,4668.36,2035.46,2024-12-10,2025-06-11,2025-12-10,2026-06-11,0.0,3301.26,2025-10-13,In-App Message,Verified insurance premium update,Collin,"96112 Blake Shoal Apt. 371, Plano, TX 75070"
Nicholas Mayo,782.702.3684,70194264,267242.61,149637.92,6227.28,6585.47,2244.09,6957.87,2394.59,2025-08-08,2024-12-31,2026-08-08,2025-12-31,0.0,4683.92,2025-09-11,Chat,Inquired about property tax adjustment,Travis,"1768 Gary Harbor, Austin, TX 78745"
Keith Bauer,001-836-878-8127x868,91499471,181329.86,133523.93,3758.57,5463.86,944.72,5731.07,1017.21,2025-03-08,2025-02-04,2026-03-08,2026-02-04,0.0,4114.42,2025-09-11,Chat,Requested payment schedule clarification,Collin,"20293 Natasha Turnpike Suite 884, Frisco, TX 75013"
Kristen Jackson,2835402424,38182016,287994.54,218427.29,2769.19,3515.8,1940.66,3800.78,1969.57,2025-07-06,2025-03-05,2026-07-06,2026-03-05,0.0,3962.89,2025-09-14,In-App Message,Follow-up on prior escrow analysis letter,Travis,"59551 Bowen Lodge, Austin, TX 78702"
Miss Alexandra Kelly,001-942-540-8916x4983,53521847,200522.07,100080.81,6079.12,5192.36,1362.45,5408.05,1456.45,2025-01-21,2025-01-18,2026-01-21,2026-01-18,0.0,1929.46,2025-09-01,Call,Inquired about property tax adjustment,Collin,"96273 Richardson Neck Apt. 727, Allen, TX 75070"
Terri White,904-822-6931x2163,23453152,388339.45,262254.56,5314.4,4375.54,1793.09,4729.52,1869.84,2024-11-16,2025-09-03,2025-11-16,2026-09-03,0.0,2384.85,2025-11-02,Chat,Verified insurance premium update,Harris,"091 Cruz Creek, Houston, TX 77024"
Amanda Wright,342-590-0185,28687147,334631.35,187648.83,6178.71,4962.56,2228.19,5171.42,2397.46,2024-12-28,2024-11-19,2025-12-28,2025-11-19,0.0,2651.65,2025-11-02,In-App Message,Verified insurance premium update,Dallas,"724 Mendoza Gardens Apt. 848, Dallas, TX 75219"
Joshua Garcia,(920)430-3662x54361,24782157,515228.54,259889.68,5518.86,3368.88,1277.05,3720.52,1392.26,2024-11-27,2025-07-03,2025-11-27,2026-07-03,0.0,446.05,2025-08-28,Email,Inquired about property tax adjustment,Travis,"45195 Michael Corner, Austin, TX 78704"
Joseph Greene,+1-462-449-4514x75410,52984033,787190.45,602840.87,6688.5,5605.05,2107.64,5880.53,2135.67,2025-01-06,2024-12-16,2026-01-06,2025-12-16,0.0,2663.73,2025-09-14,Chat,Follow-up on prior escrow analysis letter,Collin,"7711 Moyer Harbors, Plano, TX 75013"
Catherine Cruz MD,(576)895-2366x87887,21222980,424363.97,238345.43,6405.01,6299.52,1294.7,6751.97,1367.12,2025-01-01,2024-12-23,2026-01-01,2025-12-23,0.0,3067.26,2025-08-19,In-App Message,Inquired about property tax adjustment,Harris,"931 Michael Ford Apt. 587, Pasadena, TX 77008"
Heather Atkinson,001-824-272-8633x30212,67003442,785986.38,670658.62,5298.25,3746.3,1674.03,4009.14,1717.76,2024-11-15,2025-06-20,2025-11-15,2026-06-20,0.0,1383.13,2025-11-02,Email,Verified insurance premium update,Harris,"19179 Anthony Lakes Apt. 131, Houston, TX 77024"
Brittany White,001-228-447-6570x4120,77551168,721104.28,408054.85,2850.5,4053.08,1936.6,4363.59,2093.91,2025-01-10,2025-02-24,2026-01-10,2026-02-24,0.0,4683.25,2025-08-22,In-App Message,Verified insurance premium update,Tarrant,"66784 Fletcher Manors, Fort Worth, TX 76107"
Vanessa Martinez,369.903.6289,74077726,885442.34,541922.19,5926.15,5346.18,2210.4,5908.27,2284.89,2024-12-21,2024-12-11,2025-12-21,2025-12-11,0.0,3632.54,2025-09-18,Email,Verified insurance premium update,Travis,"662 Linda Rue Suite 341, Austin, TX 78701"
Sarah Johnson,528-611-3904x3830,21413788,640002.41,555352.19,4616.64,4693.48,2342.31,5052.41,2440.13,2024-11-14,2025-03-29,2025-11-14,2026-03-29,0.0,4124.66,2025-10-25,Chat,Verified insurance premium update,Travis,"700 Davis Inlet, Austin, TX 78759"
