Customer Name,Contact,Loan Number,Total Loan Amount,Current Balance,Current Escrow Balance,Prev Tax,Prev Insurance,Forecasted Tax,Forecasted Insurance,Last Tax Paid Date,Last Insurance Paid Date,Next Tax Pay Date,Next Insurance Pay Date,Forecasted Escrow Surplus,Forecasted Escrow Shortage,Last Interaction Date,Last Interaction Type,Last Interaction Summary,County,Property Address
Grant Mueller,375.471.7751x40105,42737441,152126.66,133750.23,2012.82,3584.96,1226.11,3748.81,1311.32,2025-04-17,2025-07-13,2026-04-17,2026-07-13,0.0,3890.67,2025-08-31,Call,Requested payment schedule clarification,Tarrant,"258 Mullen Fort, Fort Worth, TX 76011"
Matthew Foster,001-393-479-6603x3419,59095909,591639.69,270906.22,2857.57,3570.41,1515.63,3714.04,1539.46,2025-03-27,2025-05-07,2026-03-27,2026-05-07,0.0,3271.51,2025-10-12,In-App Message,Inquired about property tax adjustment,Collin,"71478 Harper Ridge Suite 915, Allen, TX 75024"
Michael Mcbride,+1-891-825-1341x252,90050918,489004.06,274221.19,5305.75,6272.59,2344.88,6832.74,2431.98,2025-07-19,2025-01-17,2026-07-19,2026-01-17,0.0,5503.09,2025-10-06,Call,Asked about escrow increase explanation,Harris,"662 Reid Square, Pearland, TX 77007"
Dylan Lopez,890.950.7236x887,65784972,664573.12,461967.66,7367.91,3330.71,937.34,3612.98,952.25,2025-09-10,2025-05-07,2026-09-10,2026-05-07,2041.81,0.0,2025-10-07,Chat,Follow-up on prior escrow analysis letter,Travis,"2190 Kelly Harbor Apt. 842, Austin, TX 78745"
Pamela Dunn,591-848-5807,23746101,435678.3,326190.57,3064.28,5274.98,1531.34,5809.75,1562.42,2025-09-08,2025-02-11,2026-09-08,2026-02-11,0.0,5536.58,2025-09-03,Email,Verified insurance premium update,Harris,"0745 Scott Crest, Pearland, TX 77077"
Leah Bell,001-696-429-2330x958,53440052,404198.71,273541.26,3911.93,3427.89,1525.5,3735.92,1592.14,2025-08-10,2025-01-01,2026-08-10,2026-01-01,0.0,2304.14,2025-09-07,Email,Verified insurance premium update,Travis,"9481 Sydney Turnpike Suite 042, Austin, TX 78745"
Frank Wright,+1-767-929-4667x11684,75504221,219922.58,109583.51,6171.57,6652.96,1745.83,7203.7,1851.53,2025-05-22,2025-02-23,2026-05-22,2026-02-23,0.0,4392.86,2025-09-14,Chat,Asked about escrow increase explanation,Collin,"017 Horn Underpass Suite 363, Plano, TX 75013"
Gail Lane,001-475-900-1701,71272827,801069.11,649290.82,7778.79,5701.85,1397.8,6169.47,1438.54,2025-02-16,2024-12-13,2026-02-16,2025-12-13,0.0,1097.22,2025-09-19,In-App Message,Requested payment schedule clarification,Travis,"3242 Davis Lake, Austin, TX 78745"
Mariah Williams,+1-943-261-1037x1293,11082139,425670.79,353861.33,5018.7,6632.5,2236.76,7413.21,2423.88,2025-03-07,2025-01-03,2026-03-07,2026-01-03,0.0,6457.9,2025-09-20,Call,Follow-up on prior escrow analysis letter,Collin,"62713 Davis Valley Apt. 155, Allen, TX 75035"
Nicole Anderson,+1-921-589-0927x53269,21635070,354952.79,295038.45,7450.76,4579.61,1108.39,4776.04,1185.05,2025-02-26,2025-07-19,2026-02-26,2026-07-19,496.15,0.0,2025-08-22,Call,Requested payment schedule clarification,Tarrant,"19656 Moody Gateway, Fort Worth, TX 76107"
Kyle Griffith,804-338-9836x4037,42357445,547862.02,349589.22,4175.52,3708.34,1329.78,3927.85,1455.75,2025-04-01,2025-06-11,2026-04-01,2026-06-11,0.0,2105.35,2025-10-19,Call,Asked about escrow increase explanation,Collin,"918 Valerie Island Apt. 696, Plano, TX 75070"
John Archer,809-610-4300,94365330,613378.64,482719.39,2904.72,5978.72,1625.62,6395.94,1681.84,2025-06-07,2025-03-17,2026-06-07,2026-03-17,0.0,6519.36,2025-09-20,Call,Inquired about property tax adjustment,Dallas,"6188 Joshua Inlet Apt. 832, Irving, TX 75150"
Pamela Santos,+1-214-663-0316x1799,99399687,658663.42,491736.46,4688.54,4387.89,1174.88,4908.29,1192.42,2025-08-17,2025-02-19,2026-08-17,2026-02-19,0.0,2428.95,2025-08-30,Email,Inquired about property tax adjustment,Travis,"02027 Mills Tunnel, Austin, TX 78704"
Paul Marks,001-710-256-4814x9177,77056519,341639.63,209787.63,1054.11,6361.56,1098.68,6770.09,1179.25,2024-11-11,2024-11-28,2025-11-11,2025-11-28,0.0,8220.12,2025-11-05,Chat,Asked about escrow increase explanation,Dallas,"2419 Jeremy Pass, Irving, TX 75150"
Dana Ruiz,(722)308-6353x6541,77382794,164056.15,149386.45,7034.77,5590.92,1774.78,6115.66,1859.25,2025-03-11,2025-03-18,2026-03-11,2026-03-18,0.0,2269.29,2025-08-22,Call,Verified insurance premium update,Travis,"38061 Cline Trail, Austin, TX 78745"
Aimee Gonzalez,001-549-437-5973,10856024,750991.62,570049.68,6824.18,7138.96,949.82,7895.72,980.12,2025-02-11,2025-04-23,2026-02-11,2026-04-23,0.0,3530.97,2025-09-30,In-App Message,Follow-up on prior escrow analysis letter,Collin,"38505 Katherine Lane Suite 138, Allen, TX 75024"
Valerie Thomas,410-838-6571x918,20043577,709353.62,397795.6,6453.83,3343.71,1876.48,3603.7,1927.99,2025-08-10,2025-08-23,2026-08-10,2026-08-23,0.19,0.0,2025-09-14,Chat,Inquired about property tax adjustment,Collin,"2344 Howe Lock, McKinney, TX 75025"
Dillon Jones,729.812.1277,26205010,259833.16,142553.8,5216.79,6420.97,1914.37,6715.97,2066.67,2025-03-18,2025-01-07,2026-03-18,2026-01-07,0.0,5029.62,2025-08-22,In-App Message,Verified insurance premium update,Dallas,"74741 Eric Spur Suite 903, Irving, TX 75201"
Tracy Foster,5443206788,72014395,660850.11,588833.36,5500.94,7439.39,1349.45,8312.68,1401.34,2025-08-04,2025-07-13,2026-08-04,2026-07-13,0.0,5832.08,2025-10-15,In-App Message,Asked about escrow increase explanation,Harris,"10032 Madison Landing, Pearland, TX 77584"
Kevin Lowery,201-937-2151,16796477,747247.26,557229.66,3463.6,3333.86,1584.96,3445.16,1653.41,2025-01-17,2025-03-28,2026-01-17,2026-03-28,0.0,2484.73,2025-09-03,Chat,Asked about escrow increase explanation,Travis,"667 Patrick Meadow, Austin, TX 78704"
Denise Griffin,(909)299-3476,21773787,585247.06,542591.76,6172.45,3184.6,2345.38,3443.98,2408.57,2025-06-10,2025-09-10,2026-06-10,2026-09-10,0.0,655.53,2025-09-30,In-App Message,Follow-up on prior escrow analysis letter,Collin,"2638 Crystal Unions Apt. 657, McKinney, TX 75034"
Keith Morris,520-459-3040x785,23439803,227626.41,204764.39,3404.06,6214.42,1657.73,6497.36,1711.27,2025-06-22,2025-04-10,2026-06-22,2026-04-10,0.0,6172.67,2025-09-17,In-App Message,Verified insurance premium update,Dallas,"348 Kathryn Forges, Dallas, TX 75039"
Wendy Thompson,495.559.0599,76065552,422923.47,384424.07,3711.92,6485.09,1954.13,6710.21,2084.63,2024-12-31,2025-03-23,2025-12-31,2026-03-23,0.0,6548.73,2025-10-22,Chat,Asked about escrow increase explanation,Harris,"70103 Andrew Neck Apt. 593, Pearland, TX 77008"
Robert Oneill,7028921851,88653825,658784.51,390048.84,6066.14,5954.54,2340.78,6601.17,2434.42,2025-07-21,2025-03-14,2026-07-21,2026-03-14,0.0,4475.38,2025-08-30,Email,Inquired about property tax adjustment,Tarrant,"4522 Conner Oval, Fort Worth, TX 76011"
Kristina Preston,+1-853-292-6442x209,34438599,646601.37,332660.78,5961.84,3381.24,1750.17,3678.5,1819.41,2025-01-15,2025-07-16,2026-01-15,2026-07-16,0.0,452.39,2025-11-07,Email,Follow-up on prior escrow analysis letter,Tarrant,"391 Taylor Summit Apt. 355, Grapevine, TX 76051"
Samantha Santiago,001-857-904-3315x4100,66324902,421371.07,266011.07,2261.84,3963.87,2411.04,4256.26,2484.31,2025-06-23,2025-07-21,2026-06-23,2026-07-21,0.0,5602.16,2025-10-26,Email,Requested payment schedule clarification,Collin,"7658 Garcia Neck, McKinney, TX 75035"
Carla Jones,8404541152,20066654,530767.28,382091.6,6170.51,5369.39,1925.28,5953.98,2051.62,2025-07-04,2025-04-28,2026-07-04,2026-04-28,0.0,3169.36,2025-08-29,In-App Message,Requested payment schedule clarification,Collin,"9970 Dunlap Expressway, Allen, TX 75013"
Gary Mccann,(288)744-4310x69872,10512117,669634.23,510509.21,7318.59,6245.32,874.28,6637.44,939.64,2025-03-10,2025-09-11,2026-03-10,2026-09-11,0.0,1521.34,2025-09-21,In-App Message,Follow-up on prior escrow analysis letter,Dallas,"49731 Jamie Route Suite 171, Irving, TX 75150"
Steven Baker,+1-686-525-6527x0477,46045780,325502.21,185400.93,7759.18,6529.67,2336.76,6839.58,2502.78,2025-04-10,2025-06-01,2026-04-10,2026-06-01,0.0,3140.24,2025-09-23,In-App Message,Verified insurance premium update,Tarrant,"11586 Angela Ville, Grapevine, TX 76010"
Melissa Mayer,001-437-341-6089,70269093,545594.84,509113.14,6718.24,6605.67,1035.28,6952.47,1105.37,2025-01-28,2025-07-12,2026-01-28,2026-07-12,0.0,2682.57,2025-08-28,Chat,Follow-up on prior escrow analysis letter,Tarrant,"33206 Vanessa Mews, Arlington, TX 76011"
Deanna Bartlett,916-286-8548,93625419,212906.34,112873.61,4145.23,5310.09,2212.78,5513.22,2416.24,2025-04-19,2025-02-21,2026-04-19,2026-02-21,0.0,5105.81,2025-09-20,In-App Message,Inquired about property tax adjustment,Collin,"62299 Sara Port Apt. 485, Plano, TX 75025"
Laura Kennedy,(746)529-9606,16615722,447340.47,284947.27,3703.16,3367.22,1181.72,3564.81,1204.08,2025-08-26,2025-05-02,2026-08-26,2026-05-02,0.0,1860.54,2025-10-28,Chat,Requested payment schedule clarification,Collin,"5054 Ramirez Overpass Apt. 324, McKinney, TX 75013"
Debra Butler,+1-613-873-6785x0821,28206610,838047.13,575090.96,6817.77,6414.79,1597.49,6962.49,1743.7,2025-08-11,2025-01-27,2026-08-11,2026-01-27,0.0,3339.45,2025-09-09,Call,Inquired about property tax adjustment,Dallas,"33030 Williams Lake, Dallas, TX 75219"
John Sanders,703-757-9727,31946425,855169.46,645174.09,3962.78,6492.78,1203.99,6758.77,1241.87,2025-02-23,2025-07-22,2026-02-23,2026-07-22,0.0,5371.3,2025-09-22,In-App Message,Asked about escrow increase explanation,Dallas,"140 Williams Walk Apt. 333, Irving, TX 75062"
Sharon Coffey,+1-707-922-9034x94466,43822694,552040.34,422850.46,5025.33,6233.45,1295.16,6421.33,1349.24,2025-04-05,2025-06-17,2026-04-05,2026-06-17,0.0,4040.33,2025-10-15,In-App Message,Requested payment schedule clarification,Collin,"4896 Adrian Shore, McKinney, TX 75035"
Diane Cohen,815.745.4443x2830,28781020,865052.76,624603.54,6504.89,5284.3,834.57,5858.17,846.19,2024-11-24,2025-06-25,2025-11-24,2026-06-25,0.0,1316.86,2025-10-21,In-App Message,Inquired about property tax adjustment,Collin,"744 Sullivan Street, Allen, TX 75013"
Rose Cooper DDS,+1-487-758-4282x41724,97836731,417820.41,202133.07,2687.88,5956.97,976.23,6447.65,1052.47,2025-05-10,2024-12-26,2026-05-10,2025-12-26,0.0,6062.26,2025-09-28,Email,Asked about escrow increase explanation,Tarrant,"53465 Green Hill, Grapevine, TX 76102"
Mark Carpenter,+1-417-538-1684x602,55992373,760131.65,408604.64,6454.0,5090.8,1982.16,5532.97,2146.75,2024-11-12,2025-05-05,2025-11-12,2026-05-05,0.0,2505.67,2025-09-09,Call,Verified insurance premium update,Tarrant,"725 Kimberly Oval Suite 250, Grapevine, TX 76109"
Raymond Johnston,(971)829-6666,10626681,182854.71,100521.62,1293.34,7200.17,1676.15,8057.14,1774.83,2025-01-24,2024-11-17,2026-01-24,2025-11-17,0.0,10177.29,2025-10-18,Chat,Asked about escrow increase explanation,Collin,"350 Sherman Pines, Allen, TX 75024"
Nicholas Perez,(642)916-8942x104,79831928,796603.9,377512.2,5590.12,4229.47,2158.88,4522.68,2258.19,2025-08-20,2024-12-31,2026-08-20,2025-12-31,0.0,2320.9,2025-09-03,In-App Message,Verified insurance premium update,Dallas,"2575 Frederick Valleys Suite 033, Garland, TX 75219"
Leah Jackson,(306)848-9090x100,69634854,669051.37,423960.1,6581.04,4200.24,940.44,4486.72,986.29,2025-07-04,2025-08-10,2026-07-04,2026-08-10,195.86,0.0,2025-08-27,Email,Follow-up on prior escrow analysis letter,Tarrant,"84723 Kevin Shore Apt. 849, Fort Worth, TX 76010"
Steven Hunt,+1-714-811-7393x483,49641367,210051.68,163936.85,3145.47,5711.8,1524.4,6237.74,1587.87,2024-12-15,2024-12-23,2025-12-15,2025-12-23,0.0,5984.41,2025-11-03,Call,Inquired about property tax adjustment,Tarrant,"87375 Aaron Skyway, Arlington, TX 76102"
Kathleen Herring,001-681-714-3744x70120,51970837,629601.98,532478.9,1401.51,6020.33,1490.56,6478.95,1606.06,2025-07-10,2025-02-23,2026-07-10,2026-02-23,0.0,8031.0,2025-11-07,Email,Asked about escrow increase explanation,Harris,"110 Melissa Shore Apt. 557, Pasadena, TX 77057"
Jacqueline Cooper,366-474-6762,17871385,244672.52,138973.43,5516.14,4629.68,2414.09,4782.06,2471.57,2025-03-30,2025-07-06,2026-03-30,2026-07-06,0.0,2946.43,2025-08-16,In-App Message,Inquired about property tax adjustment,Dallas,"69797 Cheryl Tunnel, Mesquite, TX 75201"
Sheryl Acosta,(777)216-7014,80439867,580441.33,414858.8,3786.24,5923.02,1224.34,6161.19,1317.65,2025-02-15,2025-05-17,2026-02-15,2026-05-17,0.0,4939.07,2025-09-16,In-App Message,Follow-up on prior escrow analysis letter,Tarrant,"588 Ryan Stream, Arlington, TX 76102"
Margaret Hernandez,+1-390-902-8772,53034742,731223.36,586454.96,2501.99,5753.45,1979.77,6443.15,2035.24,2024-12-11,2025-05-08,2025-12-11,2026-05-08,0.0,7389.46,2025-09-26,Email,Asked about escrow increase explanation,Travis,"4083 Powell Freeway, Austin, TX 78704"
Joan Gates,351.670.1660x880,78227936,897946.8,767974.94,7772.93,7439.59,1935.33,8137.86,2050.48,2025-05-06,2025-03-19,2026-05-06,2026-03-19,0.0,4113.47,2025-10-07,Chat,Inquired about property tax adjustment,Travis,"755 Lisa Vista, Austin, TX 78745"
Lindsay Moran,(371)213-0554x885,32032560,421119.14,236719.83,7895.93,6564.3,1202.45,7053.09,1253.53,2025-08-16,2025-03-22,2026-08-16,2026-03-22,0.0,1795.13,2025-08-24,Chat,Verified insurance premium update,Dallas,"61493 David Walk Suite 373, Irving, TX 75150"
Amber Schultz,+1-991-477-9827x08086,87652255,199311.08,129368.83,6018.54,5153.99,1498.35,5498.53,1590.86,2025-04-22,2025-07-05,2026-04-22,2026-07-05,0.0,2252.41,2025-11-10,Email,Inquired about property tax adjustment,Harris,"216 Gordon Lights, Houston, TX 77007"
Danielle Sanders,547-622-6984x85833,56344519,660081.74,410740.74,7145.72,6511.18,1887.65,6813.15,2070.68,2025-03-27,2025-06-17,2026-03-27,2026-06-17,0.0,3218.75,2025-09-29,In-App Message,Follow-up on prior escrow analysis letter,Collin,"288 Page Trace, McKinney, TX 75034"
Terri Mckinney,+1-484-660-8106x20034,43629729,264761.6,140940.16,3258.63,6191.99,1388.24,6902.1,1513.94,2025-07-31,2025-08-25,2026-07-31,2026-08-25,0.0,6560.08,2025-10-07,Call,Inquired about property tax adjustment,Collin,"43805 Garcia Ways, Plano, TX 75035"
Natalie Hoffman,284.206.6658,43734435,618766.77,468538.95,1654.0,5884.44,1806.07,6368.48,1851.96,2025-03-05,2025-05-04,2026-03-05,2026-05-04,0.0,7936.51,2025-08-31,Chat,Follow-up on prior escrow analysis letter,Dallas,"735 Kimberly Fields, Garland, TX 75204"
Mrs. Tonya Moss,660-264-8422,54367386,184096.35,141888.0,5037.4,5930.08,2103.83,6330.32,2245.86,2025-03-30,2024-12-09,2026-03-30,2025-12-09,0.0,4968.14,2025-10-29,In-App Message,Follow-up on prior escrow analysis letter,Collin,"202 Carlson Trail Suite 798, Plano, TX 75013"
Kelly Krueger,718.626.8861x53355,39319229,512208.61,436577.97,5794.94,4338.45,924.05,4492.0,969.85,2024-12-25,2025-04-09,2025-12-25,2026-04-09,0.0,577.22,2025-09-07,In-App Message,Verified insurance premium update,Tarrant,"015 Allen Row Apt. 056, Grapevine, TX 76109"
Diane Pruitt,001-258-387-7043x58112,38290610,257751.52,227012.73,3235.21,7446.11,1387.13,7936.69,1495.96,2025-08-28,2025-08-04,2026-08-28,2026-08-04,0.0,7769.55,2025-08-28,Call,Inquired about property tax adjustment,Dallas,"613 Lucas Cliffs, Garland, TX 75062"
Mitchell Johnson,802-848-1934,70549061,350603.76,201232.34,1677.68,4305.95,1453.05,4673.61,1500.05,2025-03-29,2025-05-25,2026-03-29,2026-05-25,0.0,5524.92,2025-08-24,Email,Inquired about property tax adjustment,Dallas,"5061 Darlene River Apt. 901, Mesquite, TX 75201"
Michael Obrien,476-660-7283x2684,96965116,292375.58,154862.93,7971.79,5100.67,2294.43,5482.01,2335.97,2025-02-01,2025-04-20,2026-02-01,2026-04-20,0.0,1149.19,2025-11-09,In-App Message,Follow-up on prior escrow analysis letter,Harris,"88210 Ashley Lock Apt. 435, Pearland, TX 77077"
Kayla Martin,994.331.2908,49010740,587508.08,278672.16,2969.49,5688.83,2232.84,6203.82,2312.59,2025-07-23,2025-02-10,2026-07-23,2026-02-10,0.0,6966.32,2025-08-23,Call,Asked about escrow increase explanation,Travis,"1397 Howard Skyway, Austin, TX 78702"
